section,key,value,denominator,pct,tag,note
ocr_quality,retrievable_below_90,2006,3148,63.72,MEASURED,
segment_length_all,mean_words,237.8,,,MEASURED,
segment_length_all,median_words,184,,,MEASURED,
segment_length_all,total_words,801389,,,MEASURED,
segment_length_retrievable,mean_words,247.9,,,MEASURED,
segment_length_retrievable,median_words,194,,,MEASURED,
segment_length_retrievable,total_words,780422,,,MEASURED,
segment_length_dropped,mean_words,94.4,,,MEASURED,
segment_length_dropped,median_words,7,,,MEASURED,
segment_length_dropped,total_words,20967,,,MEASURED,
id_integrity,records_total,3370,,,MEASURED,rows in corpus.json
id_integrity,distinct_ids_total,1201,3370,35.64,MEASURED,"segment ids are formatted <doc_type>-p<page>, so every document sharing a doc_type collides on page number - ids are NOT unique"
id_integrity,records_on_a_colliding_id,2669,3370,79.2,MEASURED,records whose id is shared with >=1 other record
id_integrity,max_records_sharing_one_id,17,,,MEASURED,
id_integrity,retrievable_distinct_ids,1174,3148,37.29,MEASURED,size of SalienceBM25Retriever.pos and CorpusGraph.by_id
id_integrity,retrievable_segments_shadowed,1974,3148,62.71,MEASURED,segments whose id maps to a DIFFERENT segment in pos/by_id; score_of() and neighbors() return the wrong segment for these
graph_collision_free,links_to_strings_total,1031,,,MEASURED,"same resolution rule as CorpusGraph, but keyed on record index instead of the colliding id"
graph_collision_free,links_to_strings_resolved,903,1031,87.58,MEASURED,
graph_collision_free,edges,28018,,,MEASURED,compare graph_retrievable/edges - the shipped number is the one the paper/deck quotes
graph_collision_free,nodes_with_outgoing_edges,510,3148,16.2,MEASURED,
graph_collision_free,distinct_segments_reachable_as_target,1914,3148,60.8,MEASURED,
graph_collision_free,mean_outdegree_of_connected_nodes,54.94,,,MEASURED,
graph_collision_free,median_outdegree_of_connected_nodes,29.0,,,MEASURED,
graph_collision_free,max_outdegree,617,,,MEASURED,
graph_collision_free,edges_per_resolved_link,31.03,,,MEASURED,"a link string is a terse OCR'd reference matched by >=2 shared tokens against component/signature, so one reference fans out to many segments"
provenance,corpus_file,corpus.json,,,MEASURED,04_implementation/v1_baseline/corpus.json == 05_jetson_edge/lodestar_edge/corpus.json (byte-identical)
provenance,corpus_sha256,f4822dc101f371d5ff5b31752dd6a5d62b8b6b41ce956521ec29a0088aa74339,,,MEASURED,
provenance,corpus_mtime,2026-07-09T19:34:19,,,MEASURED,
provenance,computed_on,2026-09-09,,,MEASURED,
provenance,code_used,lodestar_edge.retriever.is_boilerplate + lodestar_edge.graph.CorpusGraph,,,MEASURED,same objects lodestar_edge/cli.py:build() constructs at runtime
